TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
15:31:54:531;0;-62;0;0;-59;0;1,223;0,055;-0,024;
15:31:54:690;0;0;-63;0;0;-59;1,214;0,055;-0,023;
15:31:54:842;0;-65;0;0;-59;0;1,215;0,055;-0,023;
15:31:55:000;0;0;-63;0;0;-59;1,213;0,055;-0,023;
15:31:55:152;0;-63;0;0;-59;0;1,215;0,056;-0,023;
15:31:55:306;0;0;-63;0;0;-59;1,210;0,055;-0,021;
15:31:55:464;0;-63;0;0;-59;0;1,206;0,052;-0,024;
15:31:55:617;0;0;-62;0;0;-59;1,204;0,053;-0,025;
15:31:55:775;0;-62;0;0;-60;0;1,225;0,055;-0,024;
15:31:56:248;0;0;-64;0;0;-59;1,212;0,056;-0,024;
15:31:56:391;0;-66;0;0;-60;0;1,231;0,056;-0,023;
15:31:56:699;0;-66;0;0;-60;0;1,284;0,057;-0,024;
15:31:56:858;0;0;-65;0;0;-59;1,277;0,055;-0,022;
15:31:57:011;0;-65;0;0;-60;0;1,264;0,056;-0,024;
15:31:57:321;0;-67;0;0;-61;0;1,209;0,054;-0,022;
15:31:57:476;0;0;-67;0;0;-59;1,217;0,055;-0,022;
15:31:57:631;0;-67;0;0;-61;0;1,216;0,057;-0,023;
15:31:57:950;0;-63;0;0;-61;0;1,183;0,055;-0,021;
15:31:58:108;0;0;-63;0;0;-60;1,177;0,055;-0,023;
15:31:58:576;0;-61;0;0;-61;0;1,207;0,054;-0,022;
15:31:58:871;0;-63;0;0;-61;0;1,213;0,054;-0,023;
15:31:59:026;0;0;-60;0;0;-59;1,242;0,058;-0,022;
15:31:59:182;0;-60;0;0;-61;0;1,242;0,055;-0,023;
15:31:59:491;0;-60;0;0;-61;0;1,210;0,054;-0,024;
15:31:59:647;0;0;-60;0;0;-59;1,221;0,052;-0,026;
15:31:59:801;0;-61;0;0;-62;0;1,214;0,054;-0,021;
15:31:59:956;0;0;-61;0;0;-59;1,227;0,057;-0,024;
