RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-71,-60,-71,-69,-87,-88,-82,-80,start
-60,-65,-78,-73,-83,-99,-71,-78,left
-72,-61,-75,-63,-82,-80,-79,-81,start
-66,-47,-72,-66,-79,-83,-76,-75,start
-72,-88,-86,-83,-68,-81,-82,-91,lock
-74,-69,-70,-69,-84,-86,-87,-83,start
-77,-72,-65,-74,-86,-74,-86,-84,right
-74,-79,-87,-73,-88,-96,-68,-82,back
-82,-90,-94,-88,-68,-71,-92,-94,front
-85,-79,-71,-85,-90,-75,-76,-67,right
-69,-60,-70,-65,-83,-79,-77,-84,start
-71,-64,-75,-50,-85,-88,-69,-63,trunk
-63,-72,-82,-69,-88,-91,-69,-83,left
-71,-58,-76,-69,-87,-83,-82,-80,start
-88,-87,-81,-80,-73,-64,-90,-88,front
-61,-62,-69,-64,-83,-88,-79,-82,start
-69,-58,-71,-60,-82,-88,-80,-86,start
-80,-73,-75,-70,-85,-95,-62,-67,back
-74,-68,-54,-71,-85,-78,-80,-87,right
-63,-62,-72,-62,-80,-87,-84,-75,start
-86,-74,-77,-76,-89,-74,-86,-74,right
-71,-83,-84,-71,-80,-94,-59,-77,back
-81,-81,-86,-78,-79,-70,-89,-89,front
-69,-64,-80,-76,-78,-95,-85,-91,start
-71,-52,-62,-59,-77,-81,-79,-78,start
-61,-74,-84,-76,-77,-93,-72,-85,left
-91,-76,-80,-82,-81,-67,-94,-83,right
-71,-57,-72,-66,-85,-91,-81,-79,start
-62,-61,-72,-63,-84,-86,-81,-79,start
-76,-73,-70,-70,-86,-73,-87,-75,right
-85,-77,-72,-83,-86,-67,-93,-87,right
-79,-83,-84,-88,-89,-89,-68,-70,back
-68,-61,-69,-44,-89,-86,-71,-65,trunk
-87,-71,-74,-84,-89,-82,-88,-72,right
-73,-64,-78,-45,-82,-93,-77,-70,trunk
-81,-73,-76,-84,-81,-75,-84,-71,right
-65,-64,-75,-78,-84,-94,-86,-86,left
-65,-74,-66,-43,-82,-88,-66,-70,trunk
-80,-76,-79,-62,-86,-93,-62,-72,back
-82,-79,-69,-88,-85,-69,-94,-87,right
-65,-66,-73,-38,-86,-91,-63,-71,trunk
-88,-78,-75,-79,-86,-81,-73,-74,lock
-69,-57,-67,-63,-82,-82,-83,-82,start
-82,-81,-77,-72,-81,-85,-72,-65,back
-83,-76,-70,-76,-87,-72,-86,-76,right
-71,-61,-72,-64,-89,-89,-82,-80,start
-83,-86,-91,-87,-68,-73,-86,-96,front
-90,-81,-70,-75,-90,-76,-78,-76,lock
-58,-74,-75,-75,-78,-95,-72,-84,left
-68,-71,-72,-51,-85,-91,-75,-72,trunk
-64,-71,-85,-69,-78,-95,-68,-82,left
-67,-61,-65,-63,-81,-90,-85,-78,start
-84,-78,-72,-85,-87,-65,-88,-83,right
-91,-92,-76,-87,-94,-82,-82,-76,lock
-85,-79,-70,-80,-84,-66,-93,-88,right
-69,-84,-87,-86,-84,-96,-74,-80,lock
-72,-82,-72,-53,-83,-94,-72,-69,back
-84,-76,-79,-77,-86,-65,-89,-80,right
-68,-93,-81,-76,-72,-94,-76,-86,left
-78,-75,-83,-63,-92,-93,-75,-65,back
-71,-59,-63,-64,-78,-87,-82,-78,start
-65,-71,-76,-79,-81,-91,-75,-85,left
-67,-63,-68,-47,-92,-93,-67,-62,trunk
-89,-78,-70,-81,-87,-72,-87,-84,right
-57,-67,-68,-62,-77,-85,-78,-78,start
-68,-59,-72,-44,-90,-89,-74,-67,trunk
-85,-88,-93,-86,-90,-95,-76,-77,lock
-69,-66,-72,-46,-82,-87,-65,-72,trunk
-68,-65,-78,-37,-88,-91,-64,-72,trunk
-79,-86,-83,-81,-65,-79,-84,-85,front
-83,-80,-86,-86,-68,-80,-84,-93,front
-70,-67,-64,-43,-86,-93,-70,-67,trunk
-73,-85,-90,-70,-84,-91,-57,-73,back
-65,-81,-88,-74,-74,-95,-76,-80,left
-81,-87,-66,-80,-89,-72,-91,-77,right
-83,-91,-84,-73,-79,-92,-75,-77,lock
-87,-79,-72,-84,-78,-64,-90,-82,right
-75,-78,-65,-72,-88,-73,-86,-83,right
-75,-91,-88,-87,-75,-93,-82,-86,lock
-77,-87,-88,-89,-62,-75,-79,-89,front
-77,-82,-85,-73,-87,-90,-72,-63,back
-77,-85,-92,-78,-65,-93,-79,-90,lock
-64,-82,-86,-73,-77,-89,-73,-85,left
-76,-72,-78,-63,-81,-87,-66,-64,back
-80,-86,-86,-81,-77,-69,-94,-86,front
-71,-95,-94,-82,-84,-92,-71,-75,lock
-46,-66,-77,-74,-83,-92,-84,-79,left
-83,-84,-72,-78,-91,-66,-91,-82,right
-79,-76,-64,-75,-83,-74,-89,-76,right
-78,-67,-67,-51,-83,-93,-71,-68,trunk
-59,-60,-71,-54,-76,-84,-76,-77,start
-75,-88,-91,-81,-76,-83,-80,-91,lock
-73,-71,-74,-56,-88,-86,-78,-68,back
-85,-84,-82,-72,-87,-81,-71,-70,back
-80,-80,-74,-73,-90,-83,-84,-70,right
-64,-56,-74,-66,-81,-87,-83,-84,start
-79,-94,-91,-84,-70,-72,-96,-93,front
-85,-76,-83,-84,-88,-68,-89,-85,right
-73,-68,-69,-45,-84,-91,-72,-69,trunk
-80,-88,-81,-87,-65,-82,-84,-90,front
-58,-71,-78,-70,-77,-92,-73,-80,left
-80,-82,-86,-79,-72,-66,-91,-95,front
-64,-74,-79,-75,-78,-94,-72,-86,left
-60,-70,-76,-74,-83,-92,-73,-83,left
-83,-76,-70,-89,-89,-69,-87,-83,right
-87,-86,-81,-79,-72,-63,-90,-79,front
-72,-85,-92,-89,-79,-93,-70,-79,left
-88,-91,-87,-78,-90,-84,-76,-72,lock
-70,-60,-71,-67,-84,-78,-85,-87,start
-81,-79,-86,-80,-66,-75,-84,-91,front
-83,-71,-76,-62,-88,-92,-70,-74,back
-76,-86,-66,-79,-86,-73,-88,-73,right
-81,-79,-84,-73,-91,-91,-60,-82,back
-86,-81,-82,-80,-84,-92,-75,-59,back
-81,-78,-66,-72,-83,-71,-93,-76,right
-87,-79,-74,-83,-74,-66,-90,-90,lock
-72,-72,-73,-54,-87,-89,-71,-69,back
-78,-75,-82,-67,-84,-94,-61,-72,back
-74,-58,-74,-70,-84,-86,-81,-83,start
-86,-80,-80,-71,-93,-90,-72,-61,back
