access,internal,lock,Max Prob,Prediction,Reference
0.40,0.60,0.00,0.60,internal,access
0.35,0.00,0.65,0.65,lock,lock
0.94,0.00,0.06,0.94,access,access
0.36,0.00,0.64,0.64,lock,lock
0.01,0.00,0.99,0.99,lock,lock
0.97,0.01,0.02,0.97,access,access
0.00,1.00,0.00,1.00,internal,internal
0.47,0.00,0.53,0.53,lock,access
0.97,0.03,0.00,0.97,access,access
0.00,1.00,0.00,1.00,internal,internal
0.79,0.00,0.21,0.79,access,access
0.75,0.00,0.25,0.75,access,lock
0.58,0.42,0.00,0.58,access,access
0.91,0.00,0.09,0.91,access,access
0.14,0.01,0.85,0.85,lock,lock
0.58,0.00,0.42,0.58,access,lock
0.84,0.00,0.16,0.84,access,access
0.00,1.00,0.00,1.00,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.02,0.98,0.00,0.98,internal,internal
0.03,0.96,0.01,0.96,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.87,0.09,0.04,0.87,access,access
0.97,0.03,0.00,0.97,access,access
0.91,0.05,0.04,0.91,access,access
0.15,0.00,0.85,0.85,lock,lock
0.05,0.94,0.01,0.94,internal,internal
0.72,0.02,0.26,0.72,access,access
0.13,0.00,0.87,0.87,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.62,0.00,0.38,0.62,access,access
0.88,0.08,0.04,0.88,access,access
0.00,1.00,0.00,1.00,internal,internal
0.97,0.03,0.00,0.97,access,access
0.20,0.00,0.80,0.80,lock,lock
0.01,0.99,0.00,0.99,internal,internal
0.28,0.72,0.00,0.72,internal,internal
0.93,0.00,0.07,0.93,access,access
0.46,0.00,0.54,0.54,lock,access
0.42,0.00,0.58,0.58,lock,lock
0.03,0.97,0.00,0.97,internal,internal
0.98,0.02,0.00,0.98,access,access
0.84,0.00,0.16,0.84,access,access
0.98,0.00,0.02,0.98,access,access
0.63,0.00,0.37,0.63,access,access
0.94,0.00,0.06,0.94,access,access
0.94,0.01,0.05,0.94,access,access
0.00,1.00,0.00,1.00,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.35,0.00,0.65,0.65,lock,lock
0.91,0.09,0.00,0.91,access,access
0.22,0.78,0.00,0.78,internal,access
0.00,1.00,0.00,1.00,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.94,0.05,0.01,0.94,access,access
0.03,0.97,0.00,0.97,internal,internal
0.37,0.00,0.63,0.63,lock,lock
0.78,0.00,0.22,0.78,access,access
0.14,0.83,0.03,0.83,internal,internal
0.02,0.98,0.00,0.98,internal,internal
0.01,0.99,0.00,0.99,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.75,0.23,0.02,0.75,access,access
0.85,0.00,0.15,0.85,access,access
0.73,0.00,0.27,0.73,access,access
0.64,0.00,0.36,0.64,access,access
0.13,0.87,0.00,0.87,internal,internal
0.03,0.00,0.97,0.97,lock,lock
0.97,0.00,0.03,0.97,access,access
0.01,0.99,0.00,0.99,internal,internal
0.62,0.00,0.38,0.62,access,access
0.92,0.00,0.08,0.92,access,access
0.06,0.94,0.00,0.94,internal,internal
0.49,0.00,0.51,0.51,lock,lock
0.02,0.98,0.00,0.98,internal,internal
0.03,0.00,0.97,0.97,lock,lock
0.46,0.00,0.54,0.54,lock,access
0.00,1.00,0.00,1.00,internal,internal
0.99,0.00,0.01,0.99,access,access
0.42,0.00,0.58,0.58,lock,lock
0.85,0.00,0.15,0.85,access,access
0.30,0.00,0.70,0.70,lock,access
0.73,0.00,0.27,0.73,access,access
0.78,0.00,0.22,0.78,access,access
0.81,0.00,0.19,0.81,access,lock
0.40,0.00,0.60,0.60,lock,access
0.01,0.99,0.00,0.99,internal,internal
0.63,0.01,0.36,0.63,access,lock
0.86,0.01,0.13,0.86,access,access
0.81,0.00,0.19,0.81,access,access
0.94,0.00,0.06,0.94,access,access
0.08,0.00,0.92,0.92,lock,lock
0.20,0.00,0.80,0.80,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.53,0.00,0.47,0.53,access,lock
0.90,0.05,0.05,0.90,access,access
0.88,0.00,0.12,0.88,access,access
0.80,0.00,0.20,0.80,access,access
0.92,0.00,0.08,0.92,access,access
0.72,0.00,0.28,0.72,access,access
0.04,0.00,0.96,0.96,lock,lock
0.91,0.04,0.05,0.91,access,access
0.00,1.00,0.00,1.00,internal,internal
0.12,0.00,0.88,0.88,lock,lock
0.30,0.00,0.70,0.70,lock,lock
0.84,0.00,0.16,0.84,access,access
0.95,0.04,0.01,0.95,access,access
0.63,0.00,0.37,0.63,access,access
0.00,1.00,0.00,1.00,internal,internal
0.60,0.00,0.40,0.60,access,lock
0.88,0.05,0.07,0.88,access,access
0.80,0.02,0.18,0.80,access,access
0.30,0.00,0.70,0.70,lock,access
0.24,0.00,0.76,0.76,lock,access
0.27,0.00,0.73,0.73,lock,access
0.37,0.63,0.00,0.63,internal,access
0.92,0.00,0.08,0.92,access,access
0.09,0.00,0.91,0.91,lock,lock
0.47,0.00,0.53,0.53,lock,access
0.97,0.00,0.03,0.97,access,access
0.71,0.00,0.29,0.71,access,access
0.69,0.00,0.31,0.69,access,access
0.05,0.95,0.00,0.95,internal,internal
0.05,0.00,0.95,0.95,lock,lock
0.01,0.99,0.00,0.99,internal,internal
0.83,0.01,0.16,0.83,access,access
0.00,1.00,0.00,1.00,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.42,0.00,0.58,0.58,lock,lock
0.99,0.01,0.00,0.99,access,access
0.91,0.01,0.08,0.91,access,access
0.70,0.00,0.30,0.70,access,access
0.99,0.00,0.01,0.99,access,access
0.84,0.00,0.16,0.84,access,access
0.26,0.74,0.00,0.74,internal,internal
0.10,0.00,0.90,0.90,lock,lock
0.84,0.00,0.16,0.84,access,access
0.29,0.00,0.71,0.71,lock,lock
0.74,0.00,0.26,0.74,access,access
1.00,0.00,0.00,1.00,access,access
0.97,0.00,0.03,0.97,access,access
0.12,0.00,0.88,0.88,lock,lock
0.02,0.98,0.00,0.98,internal,internal
0.94,0.00,0.06,0.94,access,access
0.00,1.00,0.00,1.00,internal,internal
0.01,0.99,0.00,0.99,internal,internal
0.07,0.00,0.93,0.93,lock,lock
