RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-71,-78,-87,-78,-72,-88,-76,-88,left
-64,-66,-70,-47,-82,-85,-71,-68,trunk
-74,-63,-79,-67,-88,-85,-84,-87,start
-80,-70,-63,-72,-87,-70,-92,-84,right
-73,-58,-69,-66,-85,-85,-80,-78,start
-67,-72,-84,-70,-81,-94,-67,-85,left
-83,-83,-82,-90,-73,-69,-88,-86,front
-77,-81,-91,-80,-69,-78,-82,-91,front
-83,-86,-87,-80,-70,-69,-91,-88,front
-68,-53,-69,-59,-80,-83,-77,-83,start
-91,-81,-74,-82,-90,-76,-75,-72,lock
-81,-69,-77,-77,-89,-72,-86,-88,right
-76,-75,-68,-45,-97,-94,-71,-69,trunk
-75,-64,-74,-67,-85,-92,-82,-76,start
-64,-64,-74,-44,-90,-84,-64,-67,trunk
-76,-74,-73,-55,-86,-90,-72,-60,back
-73,-51,-69,-65,-84,-88,-88,-80,start
-72,-41,-71,-62,-89,-88,-80,-83,start
-71,-61,-71,-45,-87,-94,-68,-76,trunk
-79,-78,-72,-96,-92,-70,-92,-80,right
-69,-66,-71,-37,-83,-91,-70,-71,trunk
-71,-54,-79,-71,-90,-88,-85,-84,start
-68,-79,-83,-79,-66,-91,-80,-89,left
-76,-83,-87,-86,-68,-78,-78,-91,front
-72,-79,-80,-77,-86,-93,-66,-73,back
-73,-57,-71,-64,-83,-81,-86,-82,start
-80,-94,-83,-80,-69,-71,-92,-87,front
-72,-61,-69,-60,-79,-88,-85,-91,start
-52,-58,-73,-66,-84,-89,-86,-76,start
-81,-96,-92,-90,-79,-73,-94,-92,lock
-81,-80,-86,-73,-90,-91,-68,-58,back
-73,-72,-76,-63,-84,-90,-65,-81,back
-67,-61,-62,-63,-87,-93,-79,-81,start
-75,-74,-86,-62,-84,-95,-75,-69,back
-48,-69,-75,-75,-77,-89,-85,-77,left
-64,-79,-80,-72,-84,-90,-72,-88,left
-71,-62,-71,-51,-86,-88,-71,-64,trunk
