RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN;COUNTER FLAG
-88;-85;-83;-84;-61;-82;-61;-77;2
-88;-85;-83;-84;-61;-82;-61;-77;2
-85;-85;-83;-83;-60;-81;-64;-81;2
-85;-85;-82;-84;-61;-82;-64;-80;2
-88;-85;-82;-84;-61;-81;-63;-80;3
-88;-84;-82;-83;-61;-81;-60;-76;3
-87;-84;-83;-82;-61;-80;-60;-76;3
-85;-85;-83;-82;-65;-80;-59;-78;3
-84;-86;-83;-82;-65;-80;-56;-79;3
-81;-88;-85;-87;-62;-85;-56;-77;3
-81;-87;-85;-83;-62;-91;-60;-79;3
-81;-87;-85;-83;-62;-91;-60;-79;3
-81;-87;-85;-83;-62;-91;-60;-79;3
-81;-87;-85;-83;-62;-91;-60;-79;3
-81;-84;-83;-89;-62;-91;-62;-77;3
-81;-84;-81;-87;-62;-86;-61;-76;3
-92;-84;-81;-85;-62;-86;-61;-76;3
-92;-85;-81;-83;-62;-87;-59;-76;3
-90;-85;-81;-82;-62;-87;-58;-77;3
-90;-86;-81;-82;-62;-90;-58;-77;3
-89;-86;-81;-81;-62;-87;-57;-77;3
-91;-86;-81;-81;-62;-87;-57;-77;3
-91;-85;-81;-82;-62;-87;-57;-77;3
-90;-85;-81;-82;-63;-87;-58;-74;3
-90;-86;-80;-82;-63;-86;-57;-74;3
-90;-84;-80;-83;-63;-89;-57;-75;3
-90;-84;-80;-84;-63;-89;-59;-75;3
-90;-84;-80;-84;-63;-89;-60;-75;3
-90;-86;-81;-85;-63;-89;-60;-76;3
-91;-84;-81;-86;-63;-86;-60;-75;3
-91;-84;-81;-86;-63;-86;-61;-76;3
-91;-84;-81;-87;-63;-88;-62;-77;3
-91;-84;-81;-87;-64;-90;-61;-79;3
-91;-84;-82;-87;-64;-90;-61;-79;3
-88;-84;-82;-87;-63;-90;-61;-79;3
-88;-82;-83;-87;-64;-91;-61;-79;3
-88;-82;-83;-87;-64;-91;-61;-79;3
-88;-82;-83;-87;-64;-91;-61;-79;3
-85;-81;-83;-86;-65;-90;-61;-79;3
-86;-80;-83;-86;-65;-88;-58;-77;3
-86;-81;-83;-90;-65;-87;-58;-78;3
-86;-80;-83;-89;-65;-87;-59;-78;3
-87;-80;-82;-89;-65;-87;-59;-77;3
-86;-80;-83;-91;-65;-84;-60;-77;3
-86;-81;-84;-92;-66;-83;-60;-77;3
-86;-81;-85;-90;-65;-83;-59;-80;3
-86;-80;-84;-91;-65;-82;-60;-80;3
-86;-81;-84;-91;-66;-81;-61;-80;3
-86;-81;-84;-91;-66;-81;-61;-80;3
-86;-81;-84;-91;-66;-81;-61;-80;3
-86;-81;-84;-91;-66;-81;-61;-80;3
-87;-81;-84;-91;-65;-82;-61;-80;3
-87;-81;-85;-90;-65;-82;-62;-77;3
-87;-82;-85;-90;-65;-82;-63;-80;3
-89;-82;-85;-96;-65;-82;-64;-82;3
-89;-81;-87;-96;-66;-81;-67;-82;3
-91;-83;-89;-96;-66;-81;-67;-87;3
-91;-83;-92;-96;-66;-84;-67;-87;3
-91;-84;-90;-92;-66;-84;-67;-87;3
-91;-83;-89;-90;-65;-85;-69;-87;3
-91;-83;-87;-88;-64;-85;-65;-79;3
-91;-84;-88;-86;-64;-84;-64;-82;3
-91;-84;-88;-85;-64;-86;-63;-83;3
-91;-84;-88;-86;-64;-86;-63;-83;3
-91;-85;-89;-86;-64;-87;-63;-80;3
-91;-85;-89;-85;-65;-87;-63;-79;3
-91;-83;-89;-85;-65;-88;-64;-79;3
-91;-85;-88;-87;-65;-85;-67;-79;3
-95;-84;-91;-89;-66;-84;-72;-79;3
-95;-85;-89;-89;-65;-84;-72;-80;3
-95;-85;-89;-94;-65;-83;-72;-80;3
-95;-85;-87;-94;-66;-83;-74;-80;3
-92;-85;-87;-94;-65;-83;-72;-80;3
-92;-85;-86;-96;-66;-84;-72;-80;3
-92;-85;-86;-96;-66;-84;-72;-80;3
-92;-85;-86;-96;-66;-84;-72;-80;3
-92;-85;-90;-92;-66;-84;-70;-84;3
-91;-85;-90;-95;-66;-84;-70;-84;3
-91;-85;-89;-90;-66;-84;-71;-86;3
-92;-84;-93;-90;-66;-83;-70;-86;3
-91;-85;-93;-90;-66;-82;-72;-85;3
-91;-85;-90;-90;-67;-82;-70;-83;3
-92;-85;-90;-90;-67;-82;-71;-83;3
-92;-84;-89;-93;-67;-83;-71;-83;3
-92;-85;-90;-93;-66;-82;-71;-84;3
-92;-85;-89;-93;-66;-84;-71;-83;3
-91;-85;-89;-92;-66;-84;-71;-83;3
-91;-85;-89;-92;-66;-84;-71;-83;3
-91;-85;-89;-92;-66;-84;-71;-83;3
-90;-85;-88;-92;-66;-84;-71;-80;3
-89;-84;-86;-92;-66;-84;-71;-80;3
-90;-84;-88;-92;-67;-83;-67;-82;3
-89;-83;-87;-92;-66;-82;-68;-84;3
-89;-83;-87;-92;-67;-82;-67;-84;3
-88;-82;-86;-92;-66;-83;-66;-84;3
-89;-83;-86;-92;-66;-82;-66;-84;3
-89;-83;-87;-92;-66;-83;-68;-84;3
-92;-83;-88;-92;-66;-83;-68;-81;3
-92;-83;-88;-96;-66;-83;-68;-81;3
-92;-85;-89;-96;-66;-84;-69;-81;3
-92;-84;-89;-93;-66;-84;-71;-82;3
-92;-85;-92;-91;-66;-85;-72;-82;3
-92;-85;-92;-89;-66;-87;-71;-83;3
-92;-85;-92;-87;-66;-87;-70;-83;3
-92;-87;-91;-87;-65;-87;-70;-83;3
-92;-85;-89;-87;-65;-86;-68;-83;3
-92;-86;-89;-86;-65;-86;-67;-83;3
-92;-86;-91;-85;-65;-88;-67;-80;3
-92;-85;-92;-86;-65;-88;-66;-79;3
-92;-88;-91;-85;-65;-86;-66;-79;3
-92;-86;-95;-85;-65;-86;-66;-80;3
-92;-87;-92;-87;-65;-84;-66;-80;3
-92;-87;-92;-87;-65;-84;-66;-80;3
-92;-87;-92;-87;-65;-84;-66;-80;3
-92;-87;-92;-87;-65;-84;-68;-80;4
-92;-86;-95;-88;-66;-84;-68;-80;4
-92;-86;-95;-90;-66;-84;-72;-80;4
-92;-85;-92;-90;-66;-87;-72;-80;4
-88;-82;-92;-90;-66;-83;-67;-80;4
-88;-80;-85;-90;-67;-83;-67;-79;4
-88;-80;-82;-86;-65;-83;-58;-78;4
-88;-80;-81;-83;-64;-83;-58;-78;4
-88;-80;-80;-84;-64;-83;-59;-79;4
-88;-80;-82;-91;-66;-88;-59;-79;4
-88;-80;-82;-91;-66;-88;-68;-81;4
-88;-80;-82;-91;-66;-88;-68;-81;4
-88;-80;-82;-91;-66;-88;-68;-81;4
-88;-80;-77;-82;-71;-77;-60;-79;4
-88;-85;-78;-82;-69;-80;-60;-86;4
-85;-85;-79;-82;-69;-80;-61;-86;4
-85;-83;-84;-85;-72;-81;-61;-86;4
-85;-82;-84;-85;-72;-80;-58;-83;4
-85;-82;-88;-91;-74;-79;-59;-81;4
-85;-82;-89;-86;-75;-78;-61;-81;4
-85;-82;-88;-89;-72;-79;-60;-80;4
-92;-85;-83;-92;-72;-79;-59;-80;4
-86;-85;-81;-92;-72;-79;-60;-79;4
-86;-87;-81;-92;-72;-79;-60;-79;4
-86;-87;-80;-86;-69;-80;-59;-79;4
-86;-88;-81;-84;-69;-80;-59;-79;4
-86;-87;-80;-82;-69;-82;-60;-77;4
-86;-88;-81;-81;-69;-82;-61;-77;4
-86;-87;-84;-81;-68;-79;-64;-75;4
-91;-85;-86;-82;-68;-79;-64;-75;4
-89;-83;-88;-82;-68;-79;-69;-74;4
-89;-82;-98;-82;-69;-79;-73;-74;4
-89;-82;-98;-84;-69;-79;-70;-75;4
-88;-82;-92;-86;-67;-79;-69;-77;4
-90;-83;-91;-84;-67;-79;-69;-77;4
-90;-82;-91;-85;-67;-79;-69;-77;4
-90;-82;-91;-85;-67;-79;-69;-77;4
-90;-82;-91;-85;-67;-79;-69;-77;4
-90;-82;-92;-87;-67;-79;-68;-77;4
-89;-82;-92;-86;-66;-79;-67;-77;4
-88;-81;-91;-86;-66;-78;-68;-77;4
-88;-81;-89;-86;-67;-77;-68;-80;4
-87;-81;-89;-86;-67;-77;-67;-80;4
-87;-82;-89;-86;-67;-77;-67;-80;4
-87;-82;-89;-85;-67;-79;-67;-78;4
-87;-82;-89;-85;-67;-79;-67;-77;4
-87;-82;-89;-84;-67;-79;-66;-77;4
-87;-83;-89;-84;-68;-79;-65;-77;4
-87;-83;-89;-84;-68;-79;-65;-77;4
-87;-83;-89;-84;-68;-79;-65;-77;4
-87;-83;-89;-86;-68;-79;-64;-77;4
-87;-82;-92;-85;-68;-79;-66;-78;4
-87;-83;-97;-84;-68;-79;-66;-78;4
-87;-84;-94;-85;-68;-78;-66;-78;4
-87;-84;-91;-86;-67;-78;-67;-80;4
-87;-84;-91;-85;-66;-78;-67;-82;4
-87;-83;-86;-85;-66;-78;-67;-82;4
-87;-84;-87;-88;-66;-78;-65;-82;4
-87;-84;-86;-88;-66;-78;-65;-82;4
-87;-84;-85;-88;-67;-80;-61;-82;4
-87;-84;-85;-88;-67;-80;-62;-82;4
-87;-84;-84;-87;-67;-80;-62;-84;4
-87;-85;-88;-86;-66;-79;-63;-83;4
-87;-85;-91;-83;-66;-79;-66;-83;4
-87;-86;-91;-84;-68;-79;-69;-83;4
-87;-86;-94;-83;-67;-79;-70;-80;4
-87;-87;-92;-84;-67;-79;-69;-80;4
-87;-86;-91;-84;-67;-77;-69;-80;4
-87;-86;-96;-84;-68;-79;-66;-76;4
-87;-87;-96;-84;-68;-79;-66;-75;4
-87;-86;-96;-84;-68;-79;-66;-75;4
-87;-85;-96;-84;-68;-79;-66;-75;4
-87;-86;-96;-83;-68;-79;-66;-75;4
-87;-85;-96;-84;-68;-79;-66;-77;4
-87;-85;-96;-84;-68;-79;-65;-78;4
-87;-85;-96;-84;-68;-79;-65;-78;4
-87;-84;-93;-86;-68;-79;-65;-78;4
-87;-84;-93;-86;-67;-78;-62;-77;4
-87;-84;-90;-86;-68;-79;-62;-78;4
-87;-83;-88;-89;-67;-77;-62;-79;4
-87;-83;-86;-90;-67;-77;-62;-81;4
-87;-84;-86;-89;-67;-77;-62;-83;4
-87;-84;-84;-93;-66;-77;-62;-82;4
-87;-84;-83;-93;-66;-77;-61;-82;4
-85;-84;-84;-93;-66;-78;-61;-84;4
-85;-84;-84;-93;-66;-77;-62;-84;4
-85;-84;-84;-93;-66;-77;-62;-84;4
-85;-84;-84;-93;-66;-77;-62;-84;4
-85;-84;-84;-93;-66;-77;-62;-84;4
-85;-84;-84;-91;-66;-77;-62;-84;4
-85;-84;-84;-90;-66;-78;-62;-84;4
-85;-83;-84;-90;-66;-78;-62;-84;4
-85;-84;-84;-89;-67;-78;-63;-82;4
-85;-84;-84;-88;-67;-78;-63;-80;4
-85;-84;-84;-88;-67;-78;-63;-78;4
-85;-85;-84;-85;-68;-78;-63;-78;4
-85;-85;-84;-83;-68;-79;-64;-78;4
-85;-86;-93;-84;-68;-79;-66;-77;4
-85;-86;-90;-83;-68;-79;-67;-77;4
-85;-86;-90;-83;-68;-79;-68;-78;4
-85;-86;-88;-82;-68;-79;-69;-77;4
-85;-86;-87;-82;-68;-79;-69;-77;4
-85;-86;-89;-83;-68;-79;-69;-78;4
-85;-86;-91;-83;-68;-79;-68;-77;4
-85;-86;-91;-84;-68;-79;-67;-77;4
-85;-87;-91;-84;-68;-79;-66;-77;4
-85;-86;-91;-84;-69;-79;-66;-78;4
-85;-86;-91;-84;-69;-79;-66;-78;4
-85;-86;-91;-84;-68;-79;-66;-78;4
-85;-85;-91;-84;-68;-79;-65;-78;4
-85;-87;-91;-84;-67;-79;-65;-78;4
-85;-86;-91;-84;-68;-79;-65;-78;5
-85;-86;-91;-84;-68;-79;-65;-78;5
-85;-86;-91;-84;-68;-79;-65;-78;5
-85;-86;-91;-84;-69;-79;-67;-80;5
-85;-89;-90;-84;-69;-80;-69;-79;5
-85;-85;-88;-88;-70;-80;-69;-79;5
-85;-85;-87;-88;-70;-81;-71;-79;5
-85;-85;-85;-88;-70;-80;-72;-77;5
-85;-85;-85;-88;-72;-79;-74;-77;5
-85;-82;-83;-88;-72;-79;-70;-79;5
-85;-84;-84;-84;-71;-78;-70;-79;5
-85;-91;-81;-84;-68;-82;-72;-82;5
-85;-92;-80;-84;-72;-82;-66;-85;5
-85;-92;-80;-84;-72;-82;-66;-85;5
-85;-92;-80;-84;-72;-82;-66;-85;5
-85;-92;-76;-83;-72;-82;-67;-85;5
-85;-92;-74;-85;-72;-82;-67;-78;5
-85;-92;-74;-85;-72;-85;-67;-78;5
-85;-92;-75;-85;-71;-88;-65;-79;5
-85;-91;-75;-85;-71;-88;-64;-77;5
-85;-94;-75;-84;-72;-82;-67;-77;5
-85;-94;-76;-83;-72;-82;-65;-77;5
-85;-94;-76;-83;-72;-82;-62;-77;5
-85;-89;-76;-85;-72;-82;-62;-77;5
-85;-89;-76;-86;-74;-83;-62;-76;5
-85;-89;-75;-87;-72;-84;-62;-76;5
-85;-89;-75;-85;-72;-84;-62;-77;5
-85;-89;-76;-85;-72;-84;-62;-78;5
-85;-94;-76;-85;-72;-84;-63;-77;5
-85;-94;-76;-85;-72;-84;-65;-78;5
-85;-94;-76;-84;-71;-85;-65;-78;5
