COUNTER FLAG;RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN
117;-80.59322033898304;-87.94915254237289;-82.2542372881356;-89.90677966101696;-68.37288135593221;-75.87288135593221;-63.144067796610166;-84.34745762711864
118;-81.52678571428571;-83.72321428571429;-85.64285714285714;-90.4375;-69.41964285714286;-79.08035714285714;-63.0625;-81.84821428571429
119;-78.9375;-92.03571428571429;-82.23214285714286;-84.32142857142857;-64.65178571428571;-79.00892857142857;-67.33928571428571;-82.16964285714286
120;-82.93577981651376;-92.22018348623853;-72.4770642201835;-86.42201834862385;-57.87155963302752;-87.56880733944953;-60.330275229357795;-83.0091743119266
121;-81.19834710743801;-91.38842975206612;-86.35537190082644;-84.31404958677686;-68.7603305785124;-82.0909090909091;-62.239669421487605;-84.67768595041322
122;-75.56756756756756;-88.23423423423424;-81.13513513513513;-85.05405405405405;-63.78378378378378;-92.009009009009;-60.333333333333336;-78.23423423423424
123;-79.77310924369748;-77.33613445378151;-81.43697478991596;-77.84873949579831;-63.7563025210084;-87.30252100840336;-56.63025210084034;-82.74789915966386
124;-75.54545454545455;-73.01818181818182;-70.25454545454545;-76.54545454545455;-73.16363636363636;-92.02727272727273;-55.53636363636364;-75.32727272727273
125;-73.29661016949153;-71.72033898305085;-76.12711864406779;-84.49152542372882;-68.65254237288136;-91.12711864406779;-53.720338983050844;-72.19491525423729
126;-85.97297297297297;-72.96396396396396;-75.42342342342343;-73.23423423423424;-68.53153153153153;-93.68468468468468;-53.270270270270274;-83.50450450450451
127;-76.44642857142857;-74.30357142857143;-82.0;-73.84821428571429;-69.36607142857143;-92.0625;-49.205357142857146;-77.73214285714286
128;-80.58407079646018;-85.30973451327434;-73.57522123893806;-73.64601769911505;-70.31858407079646;-92.7433628318584;-53.309734513274336;-80.63716814159292
